WEO Subject Code	Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	1999	2000	2001	2002	2003	2004	2005	2006	Estimates Start After	,,,
,,,
NGDP_RPCH	Antigua and Barbuda	Gross domestic product, constant prices, annual percent change	Percent			4.0	3.5	2.1	2.4	4.9	4.1	2.4	2.6		,
,,,
NGDP_RPCH	Argentina	Gross domestic product, constant prices, annual percent change	Percent			-           3.4	-           0.8	-           4.4	-          10.9	8.8	9.0	7.5	4.2		,
,,,
NGDP_RPCH	Bahamas, The	Gross domestic product, constant prices, annual percent change	Percent			4.0	1.9	0.8	1.4	1.9	3.0	3.5	4.0		
,,,
NGDP_RPCH	Barbados	Gross domestic product, constant prices, annual percent change	Percent			0.5	2.3	-           2.6	0.5	2.0	4.4	3.1	3.3		,
,,,
NGDP_RPCH	Belize	Gross domestic product, constant prices, annual percent change	Percent			8.7	13.0	4.6	4.7	9.2	4.6	2.2	2.7		,
,,,
NGDP_RPCH	Bolivia	Gross domestic product, constant prices, annual percent change	Percent			0.4	2.5	1.7	2.4	2.8	3.6	3.9	2.5		,
,,,
NGDP_RPCH	Brazil	Gross domestic product, constant prices, annual percent change	Percent			0.8	4.4	1.3	1.9	0.5	4.9	3.3	3.5		,
,,,
NGDP_RPCH	Chile	Gross domestic product, constant prices, annual percent change	Percent			-           0.8	4.5	3.4	2.2	3.7	6.1	5.9	5.8		,
,,,
NGDP_RPCH	Colombia	Gross domestic product, constant prices, annual percent change	Percent			-           4.2	2.9	1.5	1.9	4.1	4.1	4.0	4.0		,
,,,
NGDP_RPCH	Costa Rica	Gross domestic product, constant prices, annual percent change	Percent			8.2	1.8	1.0	2.9	6.5	4.2	3.2	2.7		,
,,,
NGDP_RPCH	Dominica	Gross domestic product, constant prices, annual percent change	Percent			1.3	0.3	-           3.9	-           3.7	0.9	3.7	2.8	2.8		,
,,,
NGDP_RPCH	Dominican Republic	Gross domestic product, constant prices, annual percent change	Percent			8.1	7.8	4.0	4.3	-           1.6	2.0	4.5	4.5		,
,,,
NGDP_RPCH	Ecuador	Gross domestic product, constant prices, annual percent change	Percent			-           6.3	2.8	5.1	3.4	2.7	6.9	2.7	2.8		,
,,,
NGDP_RPCH	El Salvador	Gross domestic product, constant prices, annual percent change	Percent			3.4	2.2	1.7	2.2	1.8	1.5	2.0	2.0		,
,,,
NGDP_RPCH	Grenada	Gross domestic product, constant prices, annual percent change	Percent			7.3	7.0	-           4.4	0.8	5.8	-           3.0	0.9	7.0		,
,,,
NGDP_RPCH	Guatemala	Gross domestic product, constant prices, annual percent change	Percent			3.8	3.6	2.3	2.2	2.1	2.7	3.2	3.2		,
,,,
NGDP_RPCH	Guyana	Gross domestic product, constant prices, annual percent change	Percent			3.0	-           1.3	2.3	1.1	-           0.7	1.6	-           2.6	3.4		,
,,,
NGDP_RPCH	Haiti	Gross domestic product, constant prices, annual percent change	Percent			2.7	0.9	-           1.0	-           0.5	0.5	-           3.8	1.5	2.5		,
,,,
NGDP_RPCH	Honduras	Gross domestic product, constant prices, annual percent change	Percent			-           1.9	5.7	2.6	2.7	3.5	4.6	4.2	4.5		,
,,,
NGDP_RPCH	Jamaica	Gross domestic product, constant prices, annual percent change	Percent			1.1	0.8	1.0	1.9	2.0	2.5	0.7	3.7		,
,,,
NGDP_RPCH	Mexico	Gross domestic product, constant prices, annual percent change	Percent			3.9	6.6	-           0.2	0.8	1.4	4.4	3.0	3.5		,
,,,
NGDP_RPCH	Nicaragua	Gross domestic product, constant prices, annual percent change	Percent			7.0	4.1	3.0	0.8	2.3	5.1	3.5	4.0		,
,,,
NGDP_RPCH	Panama	Gross domestic product, constant prices, annual percent change	Percent			3.9	2.7	0.6	2.2	4.3	6.0	3.5	4.0		,
,,,
NGDP_RPCH	Paraguay	Gross domestic product, constant prices, annual percent change	Percent			-           1.5	-           3.3	2.1	-           0.0	3.8	4.0	3.0	3.5		,
,,,
NGDP_RPCH	Peru	Gross domestic product, constant prices, annual percent change	Percent			0.9	2.9	0.2	4.9	4.0	4.8	5.5	4.5		,
,,,
NGDP_RPCH	St. Kitts and Nevis	Gross domestic product, constant prices, annual percent change	Percent			3.9	6.5	1.7	-           0.3	0.6	4.0	3.5	3.6		,
,,,
NGDP_RPCH	St. Lucia	Gross domestic product, constant prices, annual percent change	Percent			3.9	-           0.3	-           4.1	0.1	2.9	4.0	5.1	5.8		,
,,,
NGDP_RPCH	St. Vincent and the Grenadines	Gross domestic product, constant prices, annual percent change	Percent			4.1	1.8	1.1	3.7	3.9	4.0	4.4	4.2		,
,,,
NGDP_RPCH	Suriname	Gross domestic product, constant prices, annual percent change	Percent			-           0.9	-           0.1	4.5	3.0	5.3	4.6	4.9	3.3		,
,,,
NGDP_RPCH	Trinidad and Tobago	Gross domestic product, constant prices, annual percent change	Percent			4.4	7.3	4.3	6.8	13.2	6.2	6.3	10.1		,
,,,
NGDP_RPCH	Uruguay	Gross domestic product, constant prices, annual percent change	Percent			-           2.8	-           1.4	-           3.4	-          11.0	2.2	12.3	6.0	4.0		,
,,,
NGDP_RPCH	Venezuela	Gross domestic product, constant prices, annual percent change	Percent			-           6.0	3.7	3.4	-           8.9	-           7.7	17.9	7.8	4.5		,
,,,
,,,
,,,
International Monetary Fund, World Economic Outlook Database, September 2005,
