Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2000	2001	2002	2003	2004	2005	2006	2007	Estimates Start After	,,,
,,,
Antigua and Barbuda	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.3	1.5	2.0	4.3	5.2	5.0	7.1	3.9	2005	,
,,,
Argentina	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	-0.8	-4.4	-10.9	8.8	9.0	9.2	8.0	6.0	2004	,
,,,
Bahamas, The	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	1.9	0.8	2.3	1.4	1.8	2.7	4.0	4.5	2004	
,,,
Barbados	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.3	-2.6	0.5	1.9	4.8	3.9	4.2	4.9	2005	,
,,,
Belize	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	13.0	4.9	5.1	9.3	4.6	3.5	5.3	2.6	2004	,
,,,
Bolivia	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.5	1.7	2.5	2.9	3.9	4.1	4.1	3.9	2005	,
,,,
Brazil	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.4	1.3	1.9	0.5	4.9	2.3	3.6	4.0	2005	,
,,,
Chile	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.5	3.4	2.2	3.9	6.2	6.3	5.2	5.5	2005	,
,,,
Colombia	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.9	1.5	1.9	3.9	4.8	5.1	4.8	4.0	2005	,
,,,
Costa Rica	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	1.8	1.1	2.9	6.4	4.1	5.9	6.5	4.5	2005	,
,,,
Dominica	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	1.4	-4.2	-5.1	0.1	3.0	3.4	3.0	3.0	2004	,
,,,
Dominican Republic	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.8	4.0	4.5	-1.9	2.0	9.3	5.5	5.0	2004	,
,,,
Ecuador	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.8	5.3	4.2	3.6	7.9	4.7	4.4	3.2	2005	,
,,,
El Salvador	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.2	1.7	2.3	2.3	1.8	2.8	3.5	3.5	2004	,
,,,
Grenada	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.0	-4.4	0.8	5.8	-3.0	5.0	6.5	5.0	2003	,
,,,
Guatemala	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.6	2.3	2.2	2.1	2.7	3.2	4.1	4.0	2005	,
,,,
Guyana	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	-1.3	2.3	1.1	-0.7	1.6	-3.0	3.5	4.1	2004	,
,,,
Haiti	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	1.3	-0.6	-0.5	0.2	-2.6	0.4	2.3	3.6	2005	,
,,,
Honduras	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	5.7	2.6	2.7	3.5	4.6	4.2	4.5	4.5	2005	,
,,,
Jamaica	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.7	1.5	1.1	2.3	0.9	1.4	2.8	3.0	2005	,
,,,
Mexico	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	6.6	0.0	0.8	1.4	4.2	3.0	4.0	3.5	2005	,
,,,
Netherlands Antilles	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	-2.0	1.4	0.4	1.4	1.0	0.7	1.8	2.7	2004	,
,,,
Nicaragua	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.1	3.0	0.8	2.3	5.1	4.0	3.7	4.3	2004	,
,,,
Panama	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.7	0.6	2.2	4.2	7.6	6.4	6.5	6.1	2005	,
,,,
Paraguay	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	-3.3	2.1	0.0	3.8	4.1	2.9	3.5	4.0	2005	,
,,,
Peru	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.0	0.2	5.2	3.9	5.2	6.4	6.0	5.0	2005	,
,,,
St. Kitts and Nevis	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.4	2.6	1.6	0.6	7.1	6.7	5.2	4.1	2004	,
,,,
St. Lucia	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	-0.3	-4.1	0.5	3.1	4.0	5.4	6.0	4.0	2005	,
,,,
St. Vincent and the Grenadines	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.0	-0.1	3.2	2.8	6.8	2.2	3.4	3.7	2004	,
,,,
Suriname	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	-0.1	4.5	3.0	5.3	7.8	5.1	4.5	4.4	2004	,
,,,
Trinidad and Tobago	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	6.9	4.2	7.9	13.9	9.1	7.9	12.5	6.9	2004	,
,,,
Uruguay	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	-1.4	-3.4	-11.0	2.2	11.8	6.6	4.6	4.2	2005	,
,,,
Venezuela	Gross domestic product, constant prices	Annual percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.7	3.4	-8.9	-7.7	17.9	9.3	7.5	3.7	2004	,
,,,
,,,
,,,
International Monetary Fund, World Economic Outlook Database, September 2006,
