ISO	Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2015	2016	2017	2018	2019	2020	2021	2022	Estimates Start After	,,
,,
ATG	Antigua and Barbuda	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.060	5.343	2.685	3.000	2.500	2.000	2.000	2.000	2016	
,,
ARG	Argentina	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.647	-2.245	2.464	2.508	2.651	3.139	3.165	3.218	2016	
,,
BHS	The Bahamas	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-1.664	-0.254	1.800	2.500	2.200	1.600	1.500	1.500	2015	
,,
BRB	Barbados	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.902	1.600	0.882	0.527	0.802	1.279	1.549	1.600	2015	
,,
BLZ	Belize	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.876	-0.781	2.506	2.288	1.652	1.652	1.652	1.652	2015	
,,
BOL	Bolivia	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.857	4.264	4.200	4.000	3.800	3.700	3.700	3.700	2015	
,,
BRA	Brazil	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-3.769	-3.595	0.748	1.489	1.986	2.034	2.035	2.033	2016	
,,
CHL	Chile	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	2.255	1.595	1.376	2.505	2.749	2.897	3.162	3.262	2016	
,,
COL	Colombia	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	3.052	1.960	1.700	2.843	3.550	3.650	3.650	3.650	2016	
,,
CRI	Costa Rica	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	4.723	4.329	3.800	3.800	3.900	3.900	3.900	3.900	2016	
,,
DMA	Dominica	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	-2.544	2.638	3.936	2.801	1.800	2.084	1.860	1.500	2015	
,,
DOM	Dominican Republic	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	7.041	6.645	4.760	5.799	4.970	4.970	4.970	4.970	2016	
,,
ECU	Ecuador	Gross domestic product, constant prices	Percent change		See notes for:  Gross domestic product, constant prices (National currency).	0.158	-1.467	0.200	0.567	0.974	1.433	1.486	1.636	2016	
,,
